id,name,price,description
237,Kia,3736.64,Progressive system-worthy software
238,Dodge,7520.16,Proactive exuding product
239,Dodge,9548.39,Organized secondary contingency
240,Audi,2315.56,Virtual client-driven archive
241,Ford,500.56,Phased transitional open system
242,Saturn,8685.44,Cloned mobile conglomeration
243,Lexus,652.01,Total explicit capability
244,Lincoln,5974.82,Switchable fault-tolerant instruction set
245,Volvo,1466.88,Organized value-added productivity
246,Volvo,9876.59,Secured interactive open system
247,Honda,6443.8,Versatile systemic forecast
248,Cadillac,8354.14,Down-sized system-worthy website
249,Ford,5513.34,Function-based context-sensitive productivity
250,Chrysler,2736.9,Innovative contextually-based definition
251,Isuzu,4641.82,Phased encompassing utilisation
252,Subaru,4909.88,Persistent zero tolerance artificial intelligence
253,Nissan,2805.64,Enterprise-wide coherent contingency
254,Mazda,4265.52,Pre-emptive leading edge middleware
255,Audi,8178.16,Pre-emptive tangible capacity
256,Toyota,2482.38,Open-architected optimal moderator
257,Dodge,9820.62,Right-sized content-based success
258,Plymouth,2415.15,Mandatory multimedia conglomeration
259,Buick,6650.75,Mandatory zero tolerance forecast
260,Plymouth,6067.31,Vision-oriented eco-centric core
261,Pontiac,3526.7,Adaptive well-modulated instruction set
262,Saturn,300.59,Front-line system-worthy projection
263,Mitsubishi,287.3,Mandatory reciprocal circuit
264,Mitsubishi,2280.83,Grass-roots scalable policy
265,Mercedes-Benz,5053.98,Inverse logistical process improvement
266,Cadillac,5647.64,Public-key reciprocal alliance
267,Saab,9647.7,Integrated 6th generation methodology
268,Jaguar,6824.07,Exclusive zero administration support
269,Chrysler,7678.25,Object-based analyzing matrices
270,Pontiac,4648.76,Universal real-time contingency
271,Lincoln,7179.65,Compatible asymmetric toolset
272,Chevrolet,1163.25,Mandatory reciprocal architecture
273,GMC,281.31,Automated hybrid strategy
274,Saab,279.51,Total zero tolerance contingency
275,Buick,4222.17,Profit-focused hybrid help-desk
276,Buick,3289.09,Centralized zero tolerance circuit
277,Maybach,4870.47,Triple-buffered analyzing productivity
278,Honda,7295.1,Balanced regional extranet
279,Saturn,292.34,Expanded client-server encryption
280,Buick,2407.03,Compatible well-modulated functionalities
281,Chevrolet,3336.95,Programmable modular adapter
282,Audi,9922.35,Focused grid-enabled website
283,Nissan,7829.38,Customizable systematic monitoring
284,Mercedes-Benz,9342.36,Team-oriented explicit project
285,Isuzu,6270.57,Cloned bi-directional process improvement
286,Mazda,7733.38,Compatible client-server encryption
287,Mitsubishi,3712.58,Organized high-level extranet
288,Suzuki,6345.25,Extended empowering complexity
289,Dodge,9641.7,Realigned explicit protocol
290,Ford,3318.19,Adaptive clear-thinking throughput
291,Toyota,595.16,Distributed foreground policy
292,Nissan,9973.06,Innovative national process improvement
293,Land Rover,8483.46,Grass-roots empowering infrastructure
294,Dodge,9061.81,Triple-buffered composite function
295,Ford,6192.37,Optional cohesive hierarchy
296,Mitsubishi,715.89,Implemented attitude-oriented matrices
297,Ford,8904.03,Progressive human-resource installation
298,Mercedes-Benz,3331.97,Programmable motivating internet solution
299,Lexus,776.38,Streamlined human-resource contingency
300,Lexus,2605.81,Reduced multi-tasking conglomeration
301,Pontiac,5732.93,Versatile asynchronous orchestration
302,Jaguar,5714.67,Cross-platform exuding help-desk
303,Mazda,6253.61,Multi-lateral tangible throughput
304,Mercury,1177.94,Profound exuding process improvement
305,Mercedes-Benz,2737.29,Automated bi-directional analyzer
306,Toyota,7448.26,Cross-group background Graphic Interface
307,Hyundai,8549.75,Business-focused client-driven orchestration
308,Dodge,9492.7,Multi-tiered neutral monitoring
309,Jaguar,5324.46,Face to face composite utilisation
310,GMC,1394.82,Profit-focused foreground array
311,Chevrolet,293.68,Digitized discrete collaboration
312,Lexus,5200.86,Multi-tiered next generation frame
313,Nissan,8921.73,Proactive 24/7 core
314,Toyota,9275.32,Stand-alone secondary hub
315,Kia,8977.28,Triple-buffered 24 hour structure
316,Chevrolet,9802.09,Face to face neutral standardization
317,Mitsubishi,1047.83,Decentralized 5th generation leverage
318,Suzuki,5665.15,Balanced global policy
319,GMC,9125.38,Business-focused methodical orchestration
320,GMC,9915.32,Fundamental composite solution
321,Ford,7911.92,Focused coherent challenge
322,Nissan,7667.58,Re-contextualized holistic parallelism
323,GMC,2143.8,Devolved actuating emulation
324,Scion,1719.26,Profound local system engine
325,Lincoln,8925.48,Re-contextualized composite secured line
326,Chevrolet,958.68,Function-based 24/7 infrastructure
327,Pontiac,7642.94,Distributed cohesive initiative
328,Suzuki,3748.98,Inverse optimizing instruction set
329,Subaru,3337.96,Cloned well-modulated orchestration
330,Buick,2859.2,Implemented needs-based emulation
331,Cadillac,8221.04,Diverse homogeneous definition
332,Mitsubishi,5006.63,Profound intangible projection
333,Chevrolet,3036.02,Mandatory encompassing toolset
334,Kia,8230.41,Universal motivating collaboration
335,Chevrolet,5683.13,Progressive global database
336,GMC,5479.96,Configurable radical moderator
337,Dodge,2231.17,Exclusive holistic portal
338,Jeep,3125.37,Devolved optimal concept
339,Mitsubishi,2524.66,Function-based bandwidth-monitored definition
340,Mazda,1065.82,Fundamental 24 hour hub
341,Volkswagen,5489.05,Phased hybrid matrices
342,Volkswagen,3736.35,Intuitive national concept
343,Isuzu,1972.99,Face to face next generation projection
344,Honda,7227.13,User-friendly motivating software
345,Ford,4388.87,Organized responsive utilisation
346,Scion,2365.98,Upgradable motivating knowledge user
347,Nissan,3444.62,Progressive fault-tolerant extranet
348,Buick,6849.15,Team-oriented value-added implementation
349,Buick,3406.68,Balanced 24/7 internet solution
350,Toyota,1822.46,Streamlined needs-based interface
351,Pontiac,444.3,Implemented contextually-based complexity
352,Buick,4892.74,Fundamental zero tolerance software
353,Plymouth,9186.86,Reverse-engineered tangible budgetary management
354,Volvo,1275.07,Sharable 24 hour instruction set
355,Chevrolet,1499.97,Quality-focused zero defect framework
356,Chevrolet,4758.35,User-friendly systematic matrices
357,GMC,4403.85,Expanded homogeneous throughput
358,Subaru,5035.12,Assimilated systematic conglomeration
359,Mercury,8198.49,Future-proofed radical capacity
360,Plymouth,6159.3,Optimized bandwidth-monitored functionalities
361,Acura,3054.06,Advanced needs-based moderator
362,Pontiac,844.88,Expanded grid-enabled open system
363,GMC,7677.19,Multi-tiered motivating database
364,Ferrari,8428.53,Polarised multimedia circuit
365,Honda,9586.22,User-centric uniform array
366,Chevrolet,709.54,Synergistic zero tolerance migration
367,Porsche,6898.93,Function-based bi-directional open architecture
368,Toyota,316.55,Business-focused 4th generation utilisation
369,GMC,2966.34,Balanced methodical toolset
370,Audi,3068.63,Streamlined local leverage
371,Chevrolet,1377.15,Cross-platform executive challenge
372,Ford,8564.92,Centralized upward-trending emulation
373,Honda,5763.47,Cloned regional structure
374,Infiniti,4739.76,Profound modular algorithm
375,Buick,7058.27,Switchable value-added framework
376,Subaru,6021.03,Extended high-level knowledge base
377,Mercedes-Benz,3126.06,Realigned leading edge open system
378,Lincoln,1404.77,Multi-lateral well-modulated time-frame
379,GMC,5389.5,Up-sized cohesive service-desk
380,Buick,4660.13,Sharable intangible extranet
381,GMC,4951.45,Phased multi-state definition
382,Mazda,2658.65,Face to face real-time installation
383,Pontiac,8352.68,Operative system-worthy extranet
384,Maserati,2305.53,Integrated stable focus group
385,MINI,6612.85,Secured leading edge array
386,Acura,6725.62,Organized demand-driven knowledge user
387,Dodge,1558.55,Mandatory well-modulated encryption
388,BMW,7267.47,Proactive uniform leverage
389,Pontiac,6110.86,Team-oriented needs-based conglomeration
390,Nissan,3507.56,Reduced reciprocal circuit
391,Plymouth,6567.16,Extended optimal access
392,Mercedes-Benz,9735.22,Distributed discrete local area network
393,Saturn,9992.47,Robust asymmetric solution
394,Jaguar,9736.74,Organic asynchronous local area network
395,Dodge,2171.85,Managed 6th generation intranet
396,Land Rover,7882.1,Integrated object-oriented ability
397,Dodge,9041.55,Robust solution-oriented core
398,Mercedes-Benz,9394.55,Multi-lateral motivating access
399,Plymouth,2889.74,Centralized methodical secured line
400,Audi,4025.42,Switchable fresh-thinking strategy
401,Dodge,5212.8,Expanded fresh-thinking Graphical User Interface
402,Cadillac,136.55,Configurable scalable array
403,Ford,7400.22,Function-based tangible attitude
404,Oldsmobile,2259.24,Fundamental attitude-oriented knowledge base
405,Dodge,4060.97,Ameliorated logistical hub
406,Mercedes-Benz,8911.79,Extended clear-thinking task-force
407,Hyundai,2069.44,Sharable discrete orchestration
408,Chevrolet,2839.28,Centralized scalable flexibility
409,BMW,6405.29,Multi-lateral logistical methodology
410,Chrysler,4608.79,Vision-oriented contextually-based monitoring
411,Chevrolet,3892.22,Seamless system-worthy data-warehouse
412,Volvo,4900.24,Multi-tiered heuristic complexity
413,Cadillac,7122.31,Open-architected maximized encoding
414,Pontiac,9590.53,Team-oriented didactic functionalities
415,Mazda,4381.1,Seamless contextually-based installation
416,Mercedes-Benz,2694.94,Multi-lateral discrete time-frame
417,Pontiac,1615.19,Horizontal executive challenge
418,Ford,9199.7,Universal solution-oriented frame
419,Chevrolet,4083.04,Progressive grid-enabled secured line
420,Porsche,1791.98,Customizable multimedia time-frame
421,Oldsmobile,6350.33,Innovative static workforce
422,Saab,8311.03,Visionary client-server approach
423,Honda,1692.14,Managed stable superstructure
424,Lincoln,6884.38,Polarised solution-oriented open system
425,Saturn,7978.91,Horizontal local structure
426,Subaru,1216.82,Persevering non-volatile definition
427,BMW,6212.98,Reverse-engineered radical extranet
428,Chevrolet,2191.33,Quality-focused zero defect architecture
429,Pontiac,6373.87,Stand-alone static internet solution
430,Volkswagen,9146.64,Streamlined coherent instruction set
431,Lamborghini,857.29,Synergistic directional leverage
432,Acura,6694.94,Self-enabling secondary database
433,Mitsubishi,7683.29,Quality-focused global approach
434,Volkswagen,1448.97,Optimized bi-directional collaboration
435,Chevrolet,741.9,Synergistic impactful forecast
436,Mercedes-Benz,7865.33,Customer-focused tangible hierarchy
437,Suzuki,4858.75,Exclusive user-facing knowledge user
438,Volkswagen,8016.54,Versatile upward-trending collaboration
439,Pontiac,8568.9,Intuitive coherent help-desk
440,Lexus,4297.07,Object-based eco-centric leverage
441,Ford,6412.6,Down-sized system-worthy solution
442,Hyundai,2816.0,Face to face secondary application
443,Lexus,4013.84,Programmable solution-oriented intranet
444,Nissan,7830.05,Advanced dynamic orchestration
445,Mazda,9762.26,Seamless exuding function
446,Dodge,1951.66,Re-engineered asynchronous structure
447,Dodge,5648.53,Self-enabling 24/7 infrastructure
448,Ford,9784.54,Realigned 24/7 interface
449,Buick,5008.81,Persistent discrete workforce
450,Volkswagen,8549.58,Ergonomic fresh-thinking monitoring
451,Cadillac,8886.42,Synergistic local architecture
452,Subaru,2268.16,Configurable zero administration focus group
453,Kia,2240.29,Expanded web-enabled framework
454,Oldsmobile,3682.36,Programmable grid-enabled algorithm
455,Cadillac,1974.2,Expanded scalable monitoring
456,Honda,4400.78,Down-sized full-range moratorium
457,Ford,203.58,Ameliorated multi-state matrix
458,Ford,6080.87,Reactive optimal strategy
459,Mercedes-Benz,6849.46,Networked cohesive implementation
460,Ford,7980.51,Sharable clear-thinking help-desk
461,Jeep,9338.76,Programmable discrete data-warehouse
462,Kia,8232.36,Profit-focused context-sensitive productivity
463,Volvo,6040.96,Devolved exuding frame
464,BMW,5849.42,Persistent fresh-thinking support
465,Nissan,5331.3,Open-source human-resource utilisation
466,Mazda,4742.26,Triple-buffered impactful methodology
467,Infiniti,7978.06,Sharable multi-tasking installation
468,Volkswagen,6557.21,Ergonomic directional complexity
469,Plymouth,3952.39,Digitized 24/7 data-warehouse
470,Oldsmobile,8060.4,Inverse intangible strategy
471,Lexus,177.05,Upgradable 5th generation Graphic Interface
472,Mercury,4457.31,Networked even-keeled internet solution
473,Ford,1472.19,Devolved fault-tolerant structure
474,Honda,3594.29,Fully-configurable value-added encoding
475,Chevrolet,7666.22,Versatile context-sensitive software
476,Hyundai,6113.95,Decentralized solution-oriented paradigm
477,Cadillac,8587.55,Digitized discrete protocol
478,Mitsubishi,9621.24,Polarised global database
479,Buick,5508.55,Quality-focused fresh-thinking matrix
480,Chevrolet,4281.37,Cross-group 24/7 functionalities
481,Dodge,5185.87,Automated hybrid access
482,Dodge,4238.83,Optimized multimedia orchestration
483,Mercedes-Benz,3057.28,Stand-alone human-resource database
484,Isuzu,7096.54,Stand-alone uniform local area network
485,Buick,7493.15,Virtual homogeneous definition
486,Volkswagen,4665.54,Total 3rd generation secured line
487,Aston Martin,8392.32,Organic bottom-line capacity
488,Ford,7628.45,Optimized motivating matrices
489,Mercedes-Benz,4572.93,Re-contextualized solution-oriented conglomeration
490,Mitsubishi,4957.4,Secured 24 hour challenge
491,Buick,3042.51,User-centric exuding artificial intelligence
492,Hyundai,1408.32,Persevering modular customer loyalty
493,Porsche,5696.95,User-centric methodical forecast
494,Ford,1220.37,Total homogeneous array
495,GMC,3052.67,Operative fault-tolerant budgetary management
496,Nissan,737.76,Synergistic zero defect hardware
497,GMC,4659.39,Customer-focused dedicated function
498,Ford,8684.95,Profit-focused optimal access
499,Honda,8750.75,Advanced content-based strategy
500,Ford,9375.88,Centralized empowering Graphic Interface
501,Toyota,962.81,Multi-lateral empowering protocol
502,Mazda,3387.86,Cross-group leading edge analyzer
503,Ford,8875.56,Intuitive clear-thinking access
504,Mazda,8442.4,Profound holistic capacity
505,Ford,1605.58,Implemented motivating alliance
506,Audi,6841.31,Compatible asynchronous pricing structure
507,Porsche,6072.23,Right-sized value-added parallelism
508,Hyundai,6729.34,Advanced mobile functionalities
509,BMW,4527.98,Integrated eco-centric Graphical User Interface
510,BMW,5001.18,De-engineered neutral hierarchy
511,Mercedes-Benz,4266.43,Vision-oriented leading edge service-desk
512,Chevrolet,5361.38,Inverse contextually-based toolset
513,Ford,9693.73,Quality-focused fault-tolerant open system
514,Lincoln,3705.43,Public-key needs-based intranet
515,GMC,585.48,Stand-alone client-server process improvement
516,Jeep,4875.0,Optional systemic solution
517,Dodge,1053.91,Decentralized 24 hour monitoring
518,Lincoln,6412.72,Centralized systematic access
519,Nissan,7130.0,Innovative client-driven matrices
520,Chevrolet,6202.02,Total transitional data-warehouse
521,Plymouth,6629.12,Self-enabling attitude-oriented solution
522,Cadillac,8803.63,Persevering intermediate product
523,Volkswagen,8124.83,Fundamental context-sensitive model
524,Hyundai,6509.95,Public-key cohesive process improvement
525,Audi,1050.59,Horizontal high-level capability
526,Pontiac,8241.64,Horizontal uniform moderator
527,Mitsubishi,7007.04,Distributed composite application
528,Chevrolet,1251.4,Managed well-modulated pricing structure
529,Mitsubishi,7497.96,Synchronised asynchronous success
530,Mazda,9822.91,Robust human-resource model
531,Chevrolet,1801.38,Programmable responsive model
532,Mercedes-Benz,7952.51,Persistent discrete archive
533,Infiniti,5736.87,Realigned 6th generation migration
534,Buick,1803.8,Progressive directional array
535,Ford,3594.97,Distributed non-volatile software
536,Mercedes-Benz,8059.21,Extended 24 hour algorithm
537,Ferrari,7903.89,Quality-focused maximized circuit
538,Tesla,3994.69,Switchable zero tolerance project
539,Chevrolet,2823.53,Persevering fault-tolerant task-force
540,Land Rover,5663.02,Total interactive benchmark
541,Pontiac,1365.49,Multi-lateral dedicated open architecture
542,Toyota,271.3,De-engineered bifurcated product
543,Ford,4365.68,Exclusive coherent orchestration
544,Audi,4821.65,Persistent radical architecture
545,Ford,3897.75,Seamless interactive alliance
546,Acura,900.9,Customer-focused client-driven definition
547,Subaru,7834.31,Up-sized background hierarchy
548,Honda,9957.21,Enhanced real-time ability
549,Oldsmobile,8542.98,Object-based bifurcated superstructure
550,Chevrolet,4916.61,Stand-alone composite adapter
551,Nissan,1908.33,Sharable static orchestration
552,Buick,3738.38,Organic actuating hardware
553,Mercedes-Benz,4732.0,Balanced empowering collaboration
554,Cadillac,6982.7,Re-contextualized multimedia algorithm
555,Ford,5359.15,Monitored incremental knowledge base
556,Land Rover,5822.19,Phased mission-critical structure
557,Aston Martin,9003.67,Persistent uniform circuit
558,Nissan,713.55,Reverse-engineered non-volatile archive
559,Infiniti,7702.64,Cross-group secondary conglomeration
560,Chevrolet,489.97,Cross-group clear-thinking moratorium
561,Mazda,6956.11,Visionary intermediate software
